date,contour,device,metric,value,unit,source,url
2026-07-27,lab,mobile,perf,47,score,manual-progress,https://a2c.by/
2026-07-27,lab,mobile,lcp_ms,6400,ms,manual-progress,https://a2c.by/
2026-07-27,lab,mobile,tbt_ms,900,ms,manual-progress,https://a2c.by/
2026-07-27,lab,mobile,fcp_ms,3900,ms,manual-progress,https://a2c.by/
2026-07-27,lab,mobile,cls,0.001,score,manual-progress,https://a2c.by/
2026-07-27,live,,canonical_ok,0,bool,html-probe,https://a2c.by/
2026-07-27,live,,robots_ok,1,bool,html-probe,https://a2c.by/
2026-07-27,live,,sitemap_ok,1,bool,html-probe,https://a2c.by/
2026-08-11,lab,mobile,perf,58,score,manual-progress,https://a2c.by/
2026-08-11,lab,mobile,lcp_ms,4700,ms,manual-progress,https://a2c.by/
2026-08-11,lab,mobile,tbt_ms,940,ms,manual-progress,https://a2c.by/
2026-08-11,lab,mobile,fcp_ms,2300,ms,manual-progress,https://a2c.by/
2026-08-11,lab,mobile,cls,0,score,manual-progress,https://a2c.by/
2026-08-11,live,,canonical_ok,0,bool,html-probe,https://a2c.by/
2026-08-11,live,,robots_ok,1,bool,html-probe,https://a2c.by/
2026-08-11,live,,sitemap_ok,1,bool,html-probe,https://a2c.by/
2026-08-20,lab,mobile,perf,62,score,lighthouse-12.2.1,https://a2c.by/
2026-08-20,lab,mobile,seo,100,score,lighthouse-12.2.1,https://a2c.by/
2026-08-20,lab,mobile,lcp_ms,5745,ms,lighthouse-12.2.1,https://a2c.by/
2026-08-20,lab,mobile,tbt_ms,550,ms,lighthouse-12.2.1,https://a2c.by/
2026-08-20,lab,mobile,fcp_ms,2300,ms,lighthouse-12.2.1,https://a2c.by/
2026-08-20,lab,mobile,cls,0,score,lighthouse-12.2.1,https://a2c.by/
2026-08-20,lab,desktop,perf,97,score,lighthouse-12.2.1,https://a2c.by/
2026-08-20,lab,desktop,seo,100,score,lighthouse-12.2.1,https://a2c.by/
2026-08-20,lab,desktop,lcp_ms,1055,ms,lighthouse-12.2.1,https://a2c.by/
2026-08-20,lab,desktop,tbt_ms,66,ms,lighthouse-12.2.1,https://a2c.by/
2026-08-20,lab,desktop,fcp_ms,500,ms,lighthouse-12.2.1,https://a2c.by/
2026-08-20,lab,desktop,cls,0.015,score,lighthouse-12.2.1,https://a2c.by/
2026-08-20,live,,canonical_ok,0,bool,html-probe,https://a2c.by/
2026-08-20,live,,robots_ok,1,bool,html-probe,https://a2c.by/
2026-08-20,live,,sitemap_ok,1,bool,html-probe,https://a2c.by/
2026-08-24,lab,mobile,perf,79,score,lighthouse-12.2.1,https://a2c.by/
2026-08-24,lab,mobile,seo,100,score,lighthouse-12.2.1,https://a2c.by/
2026-08-24,lab,mobile,lcp_ms,3666,ms,lighthouse-12.2.1,https://a2c.by/
2026-08-24,lab,mobile,tbt_ms,326,ms,lighthouse-12.2.1,https://a2c.by/
2026-08-24,lab,mobile,fcp_ms,2360,ms,lighthouse-12.2.1,https://a2c.by/
2026-08-24,lab,mobile,cls,0.004,score,lighthouse-12.2.1,https://a2c.by/
2026-08-24,live,,canonical_ok,0,bool,html-probe,https://a2c.by/
2026-08-24,live,,robots_ok,1,bool,html-probe,https://a2c.by/
2026-08-24,live,,sitemap_ok,1,bool,html-probe,https://a2c.by/
